Country,ISO,BNPL_pct,Bloc,source,variable,unit
Sweden,SE,23,Nordic,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
Germany,DE,20,Continental,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
Norway,NO,18,Nordic,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
Finland,FI,16,Nordic,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
Belgium,BE,12,Continental,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
Denmark,DK,11,Nordic,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
Netherlands,NL,10,Continental,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
UK,UK,7,Western,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
France,FR,5,Western,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
Italy,IT,5,Southern,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
Ireland,IE,3,Western,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
Spain,ES,3,Southern,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
Poland,PL,3,Eastern,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
Turkey,TR,1,Other,"Worldpay Global Payments Report 2025, p.86",bnpl_pct_ecommerce_value,"% of e-commerce transaction value, 2024"
